target,text,clean_text
NEGATIVE,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,bing siteowner custom search box fail quotmarketquotquotenAUquot does nothing it still targets US search should be quotonly from australiaquot
POSITIVE,Watched Crank 2.... awesome ,Watched Crank awesome 
POSITIVE,@TheUncoolest ,TheUncoolest 
POSITIVE,Night in with the rock star...  ,Night in with the rock star 
POSITIVE,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,BATYASMUSIC Dont really have a reason haha sounds stupid Ill be 
POSITIVE,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,first night in myers just not the same wout lydia but im actually excited about this summer 
NEGATIVE,"my tooth is sving, and I cannot see my dentist for a week ",my tooth is sving and I cannot see my dentist for a week 
NEGATIVE,cant sleep got heartburn really bad ,cant sleep got heartburn really bad 
POSITIVE,Off to Whipsnade  Hope it's dry,Off to Whipsnade Hope its dry
NEGATIVE,Going To Bed ...My Ankle Hurts ,Going To Bed My Ankle Hurts 
NEGATIVE,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay 
NEGATIVE,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,I shame the name of female lol Alright Shower then sleep then get up in like hours
POSITIVE,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ", Fine Kinders coughing again so not a lot of sleep Weathers good though thats the main thing 
POSITIVE,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,Listening to the Nutcracker Who says its only a Christmas thing 
POSITIVE,"i miss him, i cant wait to see him, im happy ",i miss him i cant wait to see him im happy 
NEGATIVE,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,tristanwilds are you missing me im missing my tuesday nights of 
POSITIVE,"@mithss mourniiiiiiing eh, morniiing!!! ",mithss mourniiiiiiing eh morniiing 
POSITIVE,@pamelaong Glad the blog helped ,pamelaong Glad the blog helped 
POSITIVE,Awesome pumpkin! Your famous ,Awesome pumpkin Your famous 
NEGATIVE,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",ScarlettHarlott Sadly Ive never seen a single episode I know Im fired right 
POSITIVE,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,LucasGo Haha I will oO Hows you Long time no reply
NEGATIVE,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",PaulaAbdul awww Good luck Paula Please dont work too hard but I hope you have fun Your new album is gonna be amazing xxx
POSITIVE,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,Seattle PRIDE will be June at Come out and support your community March with the marriage equality contingent 
POSITIVE,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",Lujee seriosuly the second one quotsince Im already a mid class dude and would work for foodquot 
NEGATIVE,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,at schoollistining to die Ãrzte Westerlandgreat song reallybtw im so tiredi sleeped between and thats bad 
NEGATIVE,I am so hungry  I hate not eating breakfast!,I am so hungry I hate not eating breakfast
NEGATIVE,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,ewww if i work at fazolis i have to year a viserand ugly shoesand a pony tailand no nail polish 
POSITIVE,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,ZippyC NO ITS FULL OF WIN AND I LUV IT lt Ive been meaning to catch up to where its at now for ages NOW I HAVE 
NEGATIVE,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,Oft As finished as I can be Can I relax and be on holiday now I think Ive missed the acceptable slot for lunch 
POSITIVE,@ItsNeet 100%.. its like getting an A for all your classes.. ,ItsNeet its like getting an A for all your classes 
POSITIVE,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",seblefebvre Hi Seb Im a spanish fan of youIm addicted to SP and I think its the best band in the worldplease come to spain early 
POSITIVE,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,Home from soccer Its so hot out there today We have retreated to the coolness of the basement 
POSITIVE,i have find my someone ,i have find my someone 
POSITIVE,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,marqueshouston We are the quotFugazi Patrolquot amp our motto is quotIf u see a clown point em outquot please let everyone know about us 
POSITIVE,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,it is ginormous Haha well i feel wierd talking about myy ziiiit ta ta good nightt
POSITIVE,I'm obsessed with twitting  haha,Im obsessed with twitting haha
POSITIVE,One interlock down one to go ,One interlock down one to go 
NEGATIVE,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",ughsummer colds are the worst esp when you have a fever on top of this ridic humidity 
NEGATIVE,I miss Zack so much these days ,I miss Zack so much these days 
NEGATIVE,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,dbferguson Im using an Asus Forget which one at the moment since I dont have it near meBut my complaints are similar to yours 
POSITIVE,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",powersurf OH Ive Got a case I designed it Someone idiot stole it and I can prove it If they want to play hardballIm game 
NEGATIVE,my thumb hurts after breaking the nail.... ,my thumb hurts after breaking the nail 
POSITIVE,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs", Congrats on the platinum Its a fantastic album one of my favs
POSITIVE,"@JosephFrost Yeahh, that would be pretty awesome. ",JosephFrost Yeahh that would be pretty awesome 
POSITIVE,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,benlizzotte so i think you should work for the discovery channel bc then it would be media AND sharks 
NEGATIVE,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",paddyrules home is mums house lol hm maddens could be a plan am actually stone cold broke atm tho not even sure i could afford door fee 
NEGATIVE,@MandyyJirouxx that page doesn't exist ,MandyyJirouxx that page doesnt exist 
NEGATIVE,fighting a cold. ,fighting a cold 
NEGATIVE,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,greeleyalex aw im jealous I miss home I wish I could be home in CG right now Watching spanish tv with my Gparents
NEGATIVE,@aleshacal my phone is dying  no charger here!,aleshacal my phone is dying no charger here
POSITIVE,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,mileycyrus Green Day new cd on the and you on the woo 
NEGATIVE,my tv always freezes while i'm watching inbetweeners ,my tv always freezes while im watching inbetweeners 
NEGATIVE,@softjunebreeze Ex-factor.... Me too ,softjunebreeze Exfactor Me too 
NEGATIVE, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess , Back to school on MondayWell I did get an iPod Touch shmuxel See yah tomorrow then I guess 
NEGATIVE,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,LisaAnneWest i missed it have to catch up on sunday ohh ye so fancy ldn on sunday xoxo
NEGATIVE,tried to check out your site @poeticmindset ... not working ,tried to check out your site poeticmindset not working 
POSITIVE,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,Watching Wayne Dyers new program on PBS quotExcuses Begonequot Lower mainlanders can check it out on ch or on Shaw Peace 
NEGATIVE,pimples attack! Arghhhhhhhhh ,pimples attack Arghhhhhhhhh 
NEGATIVE,"has to pack, stillll. and doesn't want to.. ",has to pack stillll and doesnt want to 
NEGATIVE,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,snikkins How dare you get some before I have a chance to Youre no longer my friend 
POSITIVE,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",Cant stop listening to the clips of Jonasbrothers new album Lines Vines and Trying Times its so amazing cant wait for the whole thing 
NEGATIVE,about to pour in orlando ,about to pour in orlando 
POSITIVE,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",carriecruz I know I dont think they air it on any of the cable channels anymore but you can download them from the net 
POSITIVE,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,AprAnaya you will check the website so you can have an idea as to what product u want to try I will sent u the email tomorrow 
NEGATIVE,@annieomnious    can it be fixed?  can we make a new simple one mayb?,annieomnious can it be fixed can we make a new simple one mayb
NEGATIVE,blÃ¤Ã¤ i have a headache ,blÃ¤Ã¤ i have a headache 
POSITIVE,Has just joined Twitter.. It better be good! ,Has just joined Twitter It better be good 
NEGATIVE,Where in Singapore do they sell Dujour? ,Where in Singapore do they sell Dujour 
NEGATIVE,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",iranelection The quotyellow Pressquot is alive and well in the century how quickly we forget the USS Maine 
NEGATIVE,haven't been on all day  went to bed late last night!,havent been on all day went to bed late last night
POSITIVE,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",wheres all the rain we were supposed to have today not complaining tho its lovely amp bright very happy making 
POSITIVE,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",clairestokoe thank you it only took me two minutes thankfully the style of envirowisegovuk was already there for the taking 
NEGATIVE,ps: i think twitter sucks if you dont have free unlimited texts. ,ps i think twitter sucks if you dont have free unlimited texts 
POSITIVE,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",xDorkyStacy Ha THAT SOUNDS SO WRONG STACY lmao i love you and when I take one Ill think of you too haha and on youtube 
POSITIVE,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late, no no really its ok u try em out and then u can see which works and doesnt by that time its to late
NEGATIVE,Who else misses Parade the day incredibly much.. ,Who else misses Parade the day incredibly much 
NEGATIVE,I was caller number one. ,I was caller number one 
NEGATIVE,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,StewartWade ditto Goodnight amp rest well Go play the lottery I bought a ticket when I was n FL last week but no luck 
POSITIVE,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",Mornin Hope all is well Im your worlds Im not sure why Im at work at this mornin but I guess Its not all bad 
NEGATIVE,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,should be going out but wants to stay put to participate in RichardWiseman experiment might have to do it by txt no photo part 
POSITIVE,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",If you can take criticism and blame without resentment YOURE PROBABLY THE FAMILY DOG see httpjijrcomhitZ cheers Louann
NEGATIVE,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",TeeMonster Sorry I know Im late responding timezone troubles but I think you would need to load Audacity to your compy
NEGATIVE,History exam today and dreading it ,History exam today and dreading it 
NEGATIVE,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,After seeing mr benningfield tonight it really made me start to miss my vand family like hXc i love you band geeks lt
POSITIVE,Just downloaded a new Twitter app for my phone. So much better already. ,Just downloaded a new Twitter app for my phone So much better already 
NEGATIVE,I seem to be making a habbit out of not falling asleep until very late ,I seem to be making a habbit out of not falling asleep until very late 
NEGATIVE,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,There was a steady stream at my polling station mostly old folks surely they wouldnt vote for the fascists Are people that stupid 
NEGATIVE,Missionaries had passport problems. Still havn't arrived  ya'll pray!,Missionaries had passport problems Still havnt arrived yall pray
POSITIVE,had a very good night ,had a very good night 
POSITIVE,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",Enjoying the morning just hanging out with Juliet in Victoria She doesnt know it yet but Im taking her to see Il Divo tonight fb
POSITIVE,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,Off to the Miss Bikini Philippines pageant Thanks to veggiecircle for the ticket 
POSITIVE,i'm going global .. ,im going global 
NEGATIVE,They are gone .. ,They are gone 
POSITIVE,Friends with scott again ,Friends with scott again 
POSITIVE,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,I think that my lovely brother ScottyHolloway should take me and his lovely sister to Old Town for some dinn dinn amp margaritas 
POSITIVE,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,Roast in the cooker and cakes in the oven soon Good morning Hope everyone is well today 
NEGATIVE,Wooo I picked my sister and I miss the empty house. ,Wooo I picked my sister and I miss the empty house 
NEGATIVE,@aleahhh season is almost done with babe ,aleahhh season is almost done with babe 
NEGATIVE,off to work    byeee xox,off to work byeee xox
NEGATIVE,@alexandramusic Diversity won! damnn i wanted flawless to win ,alexandramusic Diversity won damnn i wanted flawless to win 
NEGATIVE,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,printin stuff for my aunt dont ask y its so late i forgot do it earlier 
NEGATIVE, can some one pleease tell me how to work out the total surface area of a square pyramid? , can some one pleease tell me how to work out the total surface area of a square pyramid 
POSITIVE,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,DENISERICHARDS love your hair dont ever cut ur locks 
POSITIVE,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,okse Phew Hate to think you and Colin had fallen out Glad hes smiling for you Hip Hip Hip Hooray 
POSITIVE,@Dee_Dee_3 high low , high low 
POSITIVE,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",And the motivation came yay Not finished yet but well on my way Gonna go finish it xx
NEGATIVE,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,Still cant get Jonas Bros ticketsdreading facing my niece later on I can see the tantrum now Hope they put on another gig in Dublin 
NEGATIVE,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",I though the clothes of Collection from designers will be there together with the visual arts but it is not 
POSITIVE,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,On schedule now to soft launch tomorrow evening already have first customer lost cat 
POSITIVE,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,quotThank You Lord for reminding me to see myself the way You see mequot 
POSITIVE,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day You Had Really Short Hair And Everythng Young Ta Old 
NEGATIVE,"Ugh, so bored today! ",Ugh so bored today 
POSITIVE,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,home from a long day of work i wore heels from to i must be crazy came right home to soak the feets lol who wana rub em 
NEGATIVE,Still at work  This entire week has felt like an extremely long and awful Monday!,Still at work This entire week has felt like an extremely long and awful Monday
NEGATIVE,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,Upgraded iPhone to but seem to have weaker link to tamu wireless 
NEGATIVE,morning twitterland...off to work i go ,morning twitterlandoff to work i go 
NEGATIVE,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,Debbiebarnhill Im such a plantaholic I spent several thousand s the last few years planting at my brothers lake cabin he sold it 
POSITIVE,Trying to learn some &quot;PHOTOGRAPHY&quot; ,Trying to learn some quotPHOTOGRAPHYquot 
POSITIVE,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,KrisAllenmusic Ill be sure to vote for you in that competition A star with your name on it would go well with your Idol Trophy
NEGATIVE,already miss baby donkey ,already miss baby donkey 
NEGATIVE,@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,kpsomotragos I have it on good authority that well be getting it around 
NEGATIVE,Just heard gun shots in my neighborhood!!! ,Just heard gun shots in my neighborhood 
NEGATIVE,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,Just watched hella home movies with my aunt and uncle I miss the days where our whole family got along 
NEGATIVE,I am sooo tired!! My eyes literally can't stay open ,I am sooo tired My eyes literally cant stay open 
NEGATIVE,I hate word challenge on facebook! ,I hate word challenge on facebook 
NEGATIVE,is sad she couldn't go out with her girls tonight  It's been too long....,is sad she couldnt go out with her girls tonight Its been too long
NEGATIVE,PACKING SUCKS! i miss my Lee ,PACKING SUCKS i miss my Lee 
POSITIVE,O how i love you sammoons  o how i do. ,O how i love you sammoons o how i do 
NEGATIVE,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",Wants a free doughnut Krispy Kremes are so expensive but million times better than other doughnuts 
POSITIVE,new phone  tattoo on monday! Woo.. just had tea. yummy.,new phone tattoo on monday Woo just had tea yummy
NEGATIVE,waiting for my hoe to come back ,waiting for my hoe to come back 
NEGATIVE,"i just cried a lot  im so over that all , and i cant hear it anymore...",i just cried a lot im so over that all and i cant hear it anymore
NEGATIVE,Trying to get on facebook!!! ,Trying to get on facebook 
NEGATIVE,I want to post lol cats on here but I can't ,I want to post lol cats on here but I cant 
POSITIVE,@RobbieTaylor I have no comment about who won the game until this replay is completed. ,RobbieTaylor I have no comment about who won the game until this replay is completed 
POSITIVE,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,Thank you everyone I seriously am I lucky guy to have such great and lovely friends Lets keep in touch chuckisherecom at LAX
NEGATIVE,friday gimmick in the office  but always looking forward for the weekend!,friday gimmick in the office but always looking forward for the weekend
POSITIVE,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,TALK meeting tonight at Tampa Chamber at with WOMlinda as guest speaker on Word of Mouth Marketing Happy Hour after Tinatapas 
POSITIVE,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,successfully obtained visa entries to enter and stay in the Royal Kingdom of Thailand 
POSITIVE,Downtown Disney ,Downtown Disney 
NEGATIVE,missing my mom ,missing my mom 
NEGATIVE,A little sad  pretty bad news and feel too much insecure about my playing.,A little sad pretty bad news and feel too much insecure about my playing
NEGATIVE,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk 
POSITIVE,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,juzgalvez Hahaha Dont be scared They need fresh minds and youre it 
POSITIVE,grandparents arrive tomorrow... good nite ,grandparents arrive tomorrow good nite 
POSITIVE,that was a good chat!  keep u posted guys...,that was a good chat keep u posted guys
NEGATIVE,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,BrokenStruggle to much waffle amp not enough drinking going on hes a less annoying version of numpty amp hes not you which makes me 
POSITIVE,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3, i knooow its the pizza girl episode xD lt
POSITIVE,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",Random drunk girl sitting by my car quotIs that your man bagquot Me quotYes thats my man bagquot BTW its name is Butch 
POSITIVE,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,lots of cool ppl gt actionchick thewildjoker walterdoc JGDemas amilya williger followfriday
POSITIVE,Alright this is my debute twitt  yay lol,Alright this is my debute twitt yay lol
NEGATIVE,@Spitphyre girls i am outta it then  my exams,Spitphyre girls i am outta it then my exams
NEGATIVE,Why do peep toe shoes hurt so bad ,Why do peep toe shoes hurt so bad 
POSITIVE,@Alyssa_Milano do celebs get more characters than the rest of us? ,AlyssaMilano do celebs get more characters than the rest of us 
NEGATIVE,need to charge my mac... ,need to charge my mac 
POSITIVE,Keyshia cole loves bebe too!!! ,Keyshia cole loves bebe too 
NEGATIVE,@dstarr I want my bed  x,dstarr I want my bed x
